id,name,date,time,weekday,start_datetime_local,city,location,locations,time_bucket,company,primary_host,cohosts,all_hosts,host_keys,invite_only,sponsor_tier,event_url,partiful_id,source_url
112,Building Products That Scale Globally,2026-06-01,10:00:00,Monday,2026-06-01 10:00,New York City,Upper Manhattan,Upper Manhattan,Morning,Travelbay,Travelbay,,Travelbay,travelbay,False,,https://partiful.com/e/oCQeG6SZP23qz5nvcxBh,oCQeG6SZP23qz5nvcxBh,https://www.tech-week.com/calendar/nyc
4225,The Next Gen of Latino Founders,2026-06-01,10:00:00,Monday,2026-06-01 10:00,New York City,Queens,Queens,Morning,Colectivo,Colectivo,,Colectivo,colectivo,False,,https://partiful.com/e/pZyjQqYyNowpa54etkKp,pZyjQqYyNowpa54etkKp,https://www.tech-week.com/calendar/nyc
4316,Who Gets to Shape AI? Why Girls Must Be in the Room,2026-06-01,10:00:00,Monday,2026-06-01 10:00,New York City,Flatiron,Flatiron,Morning,Girls Who Code,Girls Who Code,,Girls Who Code,girls-who-code,False,,https://partiful.com/e/9JBYSWrl1xooe9Oee17J,9JBYSWrl1xooe9Oee17J,https://www.tech-week.com/calendar/nyc
4339,Art Tech Showcase,2026-06-01,10:00:00,Monday,2026-06-01 10:00,New York City,Brooklyn,Brooklyn,Morning,Beat Brush Studios,Beat Brush Studios,,Beat Brush Studios,beat-brush-studios,False,,https://partiful.com/e/IenfsGwJAOT1zkyDbOxu,IenfsGwJAOT1zkyDbOxu,https://www.tech-week.com/calendar/nyc
4867,"Photoreal VR for Archvis, Real Estate and Location-Based Entertainment - Day 1",2026-06-01,10:00:00,Monday,2026-06-01 10:00,New York City,Financial District,Financial District,Morning,Agile Lens,Agile Lens,DBOX; WanderLens Lab,Agile Lens; DBOX; WanderLens Lab,agile-lens; dbox; wanderlens-lab,False,,https://partiful.com/e/6bUok8RK79B927TfqX7F,6bUok8RK79B927TfqX7F,https://www.tech-week.com/calendar/nyc
4908,Why Your Team Isn’t Scaling (Yet): A Live Leadership OS Diagnostic,2026-06-01,10:00:00,Monday,2026-06-01 10:00,New York City,Flatiron,Flatiron,Morning,"Leap Leadership Solutions, LLC","Leap Leadership Solutions, LLC",,"Leap Leadership Solutions, LLC",leap-leadership-solutions-llc,False,,https://partiful.com/e/DWeEKEPfH5j5K8rt6Q6W,DWeEKEPfH5j5K8rt6Q6W,https://www.tech-week.com/calendar/nyc
4961,Founder Finance Office Hours: Second Opinion,2026-06-01,10:00:00,Monday,2026-06-01 10:00,New York City,Chelsea,Chelsea,Morning,Haven,Haven,,Haven,haven,False,,https://partiful.com/e/iNz2d5f2PFPwdFnpvHOl,iNz2d5f2PFPwdFnpvHOl,https://www.tech-week.com/calendar/nyc
5088,AI x Investing : The Age of Agents,2026-06-01,10:00:00,Monday,2026-06-01 10:00,New York City,Midtown,Midtown,Morning,Trade It,Trade It,Public; OptionUp; Unusual Whales,Trade It; Public; OptionUp; Unusual Whales,trade-it; public; optionup; unusual-whales,False,,https://partiful.com/e/g2m3ExEh1j9ZSo7eNpCD,g2m3ExEh1j9ZSo7eNpCD,https://www.tech-week.com/calendar/nyc
5099,The Founder's Guide to NYS Resources: From R&D to Global Expansion,2026-06-01,10:00:00,Monday,2026-06-01 10:00,New York City,Midtown,Midtown,Morning,Empire State Development,Empire State Development,SOSV NY,Empire State Development; SOSV NY,empire-state-development; sosv-ny,False,,https://partiful.com/e/sGbJCvDbECcdhfFN1m6O,sGbJCvDbECcdhfFN1m6O,https://www.tech-week.com/calendar/nyc
5152,CEO Intern Public Service Entrepreneurship,2026-06-01,10:00:00,Monday,2026-06-01 10:00,New York City,Virtual (NYC),Virtual (NYC),Morning,"Comida For Familias, Inc.","Comida For Familias, Inc.",,"Comida For Familias, Inc.",comida-for-familias-inc,False,,https://partiful.com/e/w5gAuNIs4Dq5I6cYkPia,w5gAuNIs4Dq5I6cYkPia,https://www.tech-week.com/calendar/nyc
