diff_type,partiful_id,old_id,current_id,old_name,current_name,old_date,current_date,old_time,current_time,old_location,current_location,old_company,current_company,event_url,source_url,current_weekday,current_time_bucket,current_hosts
changed:name|location,2sVPnwqQOK5sF4FckWXf,13,13,New York Hackathon,Rat Pack Hack with Lovable,2026-06-06,2026-06-06,10:00:00,10:00:00,Brooklyn,Flatiron,Paradigm,Paradigm,https://partiful.com/e/2sVPnwqQOK5sF4FckWXf,https://www.tech-week.com/calendar/nyc,Saturday,Morning,Paradigm
changed:event_url,2x1lLHHnRvnf36gTKAT5,4949,4949,Private Lunch,Private Lunch,2026-06-02,2026-06-02,12:00:00,12:00:00,Midtown,Midtown,Cuculi,Cuculi,https://partiful.com/e/2x1lLHHnRvnf36gTKAT5,https://www.tech-week.com/calendar/nyc,Tuesday,Noon,Cuculi
changed:name|time,31H3VYXuOFJderTS31yH,4843,4843,THE PITCH ROOM: Live. Interactive. Built for Founders,THE AUTHORITY EDGE. Rooftop Experience for Founders & Tech Leaders,2026-06-03,2026-06-03,14:00:00,18:30:00,Financial District,Financial District,Speech & Mind,Speech & Mind,https://partiful.com/e/31H3VYXuOFJderTS31yH,https://www.tech-week.com/calendar/nyc,Wednesday,Evening,Speech & Mind
removed,31YHSjX2oIPH2aDC4qb3,5494,,"DevSpot Showcase: Agent-Built, Human-Run",,2026-06-07,,17:00:00,,Midtown,,DevSpot,,https://partiful.com/e/31YHSjX2oIPH2aDC4qb3,https://www.tech-week.com/calendar/nyc,Sunday,Evening,DevSpot
added,3FJhBMtmVPBNG5pIaPlb,,6587,,Rewiring Humans for AI Era,,2026-06-04,,11:00:00,,Midtown,,RobinTests,https://partiful.com/e/3FJhBMtmVPBNG5pIaPlb,https://www.tech-week.com/calendar/nyc,Thursday,Morning,RobinTests; Consulate General of Argentina in New York
added,3G66gsHlgtcPtsYoATiJ,,6272,,Founders House GTM Masterclass,,2026-06-02,,11:00:00,,Midtown,,Founders House,https://partiful.com/e/3G66gsHlgtcPtsYoATiJ,https://www.tech-week.com/calendar/nyc,Tuesday,Morning,Founder House
changed:name,3Ulq45rDvuTDjRsrSIPg,5944,5944,Buy vs. Build vs. Borrow: Outsourcing for Startups,"Build, Buy or Borrow: Launching your product in the age of AI",2026-06-02,2026-06-02,09:00:00,09:00:00,Midtown,Midtown,Tavern Community NYC,Tavern Community NYC,https://partiful.com/e/3Ulq45rDvuTDjRsrSIPg,https://www.tech-week.com/calendar/nyc,Tuesday,Morning,Tavern Community NYC
changed:event_url,3VrQkUHCqbrYTUVDjbx0,103,103,Using AI at the best restaurants in NYC,Using AI at the best restaurants in NYC,2026-06-04,2026-06-04,19:00:00,19:00:00,SoHo,SoHo,Loyalist,Loyalist,https://partiful.com/e/3VrQkUHCqbrYTUVDjbx0,https://www.tech-week.com/calendar/nyc,Thursday,Evening,Loyalist
changed:event_url,3c83it3DDwtNLeboisvt,129,129,Sandbox & Sips: AI Simulation Sandbox Happy Hour,Sandbox & Sips: AI Simulation Sandbox Happy Hour,2026-06-02,2026-06-02,18:00:00,18:00:00,SoHo,SoHo,Veris AI,Veris AI,https://partiful.com/e/3c83it3DDwtNLeboisvt,https://www.tech-week.com/calendar/nyc,Tuesday,Evening,Veris AI
changed:time,3dsSQ4jlafwg2QjIMXW3,4492,4492,LatAm & Latinos in Fintech,LatAm & Latinos in Fintech,2026-06-02,2026-06-02,18:30:00,18:00:00,Flatiron,Flatiron,Pygma,Pygma,https://partiful.com/e/3dsSQ4jlafwg2QjIMXW3,https://www.tech-week.com/calendar/nyc,Tuesday,Evening,Pygma
changed:event_url,3gfDFnOcXdwD4KBwwNvK,5534,5534,IRL SOCIAL - founders and investor meet-up,IRL SOCIAL - founders and investor meet-up,2026-06-04,2026-06-04,18:00:00,18:00:00,SoHo,SoHo,Women in Tech UK,Women in Tech UK,https://partiful.com/e/3gfDFnOcXdwD4KBwwNvK,https://www.tech-week.com/calendar/nyc,Thursday,Evening,Women in Tech
changed:time,3kdgu631rtkqSSFe5ZmO,5127,5127,Fin x Clay: Scaling CX in the AI Era,Fin x Clay: Scaling CX in the AI Era,2026-06-02,2026-06-02,17:00:00,17:30:00,Midtown,Midtown,Fin,Fin,https://partiful.com/e/3kdgu631rtkqSSFe5ZmO,https://www.tech-week.com/calendar/nyc,Tuesday,Evening,Fin; Clay
changed:name,3l8rpPe9jJ3rEXEhKAcr,4158,4158,GCSxNYC,GCSx NYC 2026,2026-06-02,2026-06-02,18:00:00,18:00:00,Midtown,Midtown,American Ecosystem Institute Inc.,American Ecosystem Institute Inc.,https://partiful.com/e/3l8rpPe9jJ3rEXEhKAcr,https://www.tech-week.com/calendar/nyc,Tuesday,Evening,American Ecosystem Institute Inc.; KEPLER MISSION DESIGN GROUP
added,3qoCh02LCVOwm3OQFVQy,,6543,,Health Tech AI Investment for Physicians,,2026-06-06,,15:00:00,,Chelsea,,InvestDoc,https://partiful.com/e/3qoCh02LCVOwm3OQFVQy,https://www.tech-week.com/calendar/nyc,Saturday,Afternoon,investDoc
changed:date|time|event_url,3w3F8gnlAbVfFLiL3kJA,4799,4799,The Table ✦ by Women in AI,The Table ✦ by Women in AI,2026-06-04,2026-06-03,18:00:00,18:30:00,Flatiron,Flatiron,Women in AI,Women in AI,https://partiful.com/e/3w3F8gnlAbVfFLiL3kJA,https://www.tech-week.com/calendar/nyc,Wednesday,Evening,Women in AI
changed:date,47mPwA31ZZoWx6Tzozgr,5309,5309,Pinecone Nexus AI Launch Party,Pinecone Nexus AI Launch Party,2026-06-04,2026-06-03,17:00:00,17:00:00,Flatiron,Flatiron,Pinecone,Pinecone,https://partiful.com/e/47mPwA31ZZoWx6Tzozgr,https://www.tech-week.com/calendar/nyc,Wednesday,Evening,Pinecone
added,499cWPHnN3Uoh8j7C9AN,,6631,,AI-Native Planning: How Companies Are Transforming Supply Chain & Finance Decision-Making,,2026-06-01,,11:00:00,,Midtown,,Pyplan,https://partiful.com/e/499cWPHnN3Uoh8j7C9AN,https://www.tech-week.com/calendar/nyc,Monday,Morning,Pyplan; Consulate General of Argentina in New York
changed:event_url,4HvzWY1VZlHgK21fMBUz,5889,5889,Building secure AI for your data: DeepFellow Demo + Q&A,Building secure AI for your data: DeepFellow Demo + Q&A,2026-06-03,2026-06-03,12:00:00,12:00:00,Chelsea,Chelsea,SIMPLITO,SIMPLITO,https://partiful.com/e/4HvzWY1VZlHgK21fMBUz,https://www.tech-week.com/calendar/nyc,Wednesday,Noon,SIMPLITO; Polish Investment and Trade Agency - New York Office
added,4MdmB4GHC4bD4vav1tPQ,,247,,When AI meets the patient,,2026-06-03,,17:00:00,,Flatiron,,Amigo.AI,https://partiful.com/e/4MdmB4GHC4bD4vav1tPQ,https://www.tech-week.com/calendar/nyc,Wednesday,Evening,Amigo.AI
added,4Qp4a2zWqGDfkbMlBq59,,6435,,Vibe Coding Meetup for Designers,,2026-06-05,,17:00:00,,Meatpacking District,,NYC Design Community,https://partiful.com/e/4Qp4a2zWqGDfkbMlBq59,https://www.tech-week.com/calendar/nyc,Friday,Evening,NYC Design Community
removed,4ZRTBFiLnPBvUbh1n7UW,6326,,[Real Life AI Build Lab] [Vibe Code Mama] #NYTechWeek,,2026-06-04,,18:00:00,,Flatiron,,Vibe Code Mama,,https://partiful.com/e/4ZRTBFiLnPBvUbh1n7UW,https://www.tech-week.com/calendar/nyc,Thursday,Evening,Vibe Code Mama
changed:name|date|time,4hGN5QVX8g5GvnRNgtMB,4869,4869,"Shabbat State of Mind: A Tuesday Gathering for Israeli Founders, Executives & Investors","Shabbat State of Mind: A Wednesday Gathering for Israeli Founders, Executives & Investors",2026-06-02,2026-06-03,18:00:00,17:30:00,Midtown,Midtown,Fox Rothschild,Fox Rothschild,https://partiful.com/e/4hGN5QVX8g5GvnRNgtMB,https://www.tech-week.com/calendar/nyc,Wednesday,Evening,Fox Rothschild
added,4rKK0rE5UYPMKSO3bQoZ,,4999,,Common Thread: The Haus Games,,2026-06-03,,19:00:00,,Murray Hill,,Fostr,https://partiful.com/e/4rKK0rE5UYPMKSO3bQoZ,https://www.tech-week.com/calendar/nyc,Wednesday,Evening,Fostr; Tera
changed:event_url,560FtF86aNtKTs67d4S3,4305,4305,Hot Girl Vibe Coding (feat. Baddie Li),Hot Girl Vibe Coding (feat. Baddie Li),2026-06-02,2026-06-02,19:00:00,19:00:00,Chelsea,Chelsea,Viralize Technology,Viralize Technology,https://partiful.com/e/560FtF86aNtKTs67d4S3,https://www.tech-week.com/calendar/nyc,Tuesday,Evening,Viralize Technology
added,56JZd57ccfmBIPipRzxG,,6603,,Vanderbilt Founders x Investors Breakfast,,2026-06-02,,08:00:00,,Chelsea,,Vanderbilt Center for Entrepreneurship,https://partiful.com/e/56JZd57ccfmBIPipRzxG,https://www.tech-week.com/calendar/nyc,Tuesday,Morning,Vanderbilt Center for Entrepreneurship
changed:name|date|time,5C4IsRfc64DvXZoSOto6,5550,5550,SAI - The Future of AI,"AI, Time, The Future of Computer",2026-06-02,2026-06-01,18:00:00,19:00:00,Midtown,Midtown,Jetzy,Jetzy,https://partiful.com/e/5C4IsRfc64DvXZoSOto6,https://www.tech-week.com/calendar/nyc,Monday,Evening,Jetzy
changed:event_url,5CiOULh6wh0ooq6LeF6X,73,73,Calm before the storm...NY Tech Week Breakfast,Calm before the storm...NY Tech Week Breakfast,2026-06-02,2026-06-02,07:30:00,07:30:00,Midtown,Midtown,The Lighthouse,The Lighthouse,https://partiful.com/e/5CiOULh6wh0ooq6LeF6X,https://www.tech-week.com/calendar/nyc,Tuesday,Morning,Lighthouse; FBT Gibbons; Lorimer Ventures
changed:name|location|event_url,5QdmlHRBUnRuGuRMFNHl,4120,4120,"SafeStops Global, Inc. Launch Party #WestchesterCounty","SafeStops Global, Inc. Launch Party",2026-06-02,2026-06-02,17:30:00,17:30:00,,Upper Manhattan,"SafeStops Global, Inc.","SafeStops Global, Inc.",https://partiful.com/e/5QdmlHRBUnRuGuRMFNHl,https://www.tech-week.com/calendar/nyc,Tuesday,Evening,"SafeStops Global, Inc."
removed,5ZJamdty4j6ooj2DxZPS,6266,,Infinite Machine Open House,,2026-06-06,,14:00:00,,Queens,,Infinite Machine,,https://partiful.com/e/5ZJamdty4j6ooj2DxZPS,https://www.tech-week.com/calendar/nyc,Saturday,Afternoon,Infinite Machine
added,5apSj4xpKEHJ0C1DzIXb,,6571,,"Women Who Code Summit Cocktails & Conversations - Tuesday, June 2nd",,2026-06-02,,16:00:00,,Financial District,,Women Who Code,https://partiful.com/e/5apSj4xpKEHJ0C1DzIXb,https://www.tech-week.com/calendar/nyc,Tuesday,Afternoon,Women Who Code
changed:time|event_url,5b8DE39ZNAUhZsPcSepq,204,204,Hardware Hack,Hardware Hack,2026-06-06,2026-06-06,10:00:00,11:00:00,Brooklyn,Brooklyn,localhost:nyc,localhost:nyc,https://partiful.com/e/5b8DE39ZNAUhZsPcSepq,https://www.tech-week.com/calendar/nyc,Saturday,Morning,localhost:nyc; Visionbrew; Connnext
changed:name,5hhjGFJdaccHUlu3nUrO,6371,6371,Becoming an AI Champion,Building the AI Concierge: A Bilt Fireside,2026-06-03,2026-06-03,11:00:00,11:00:00,East Village,East Village,Unicorner,Unicorner,https://partiful.com/e/5hhjGFJdaccHUlu3nUrO,https://www.tech-week.com/calendar/nyc,Wednesday,Morning,Unicorner; Bolt.new
added,5j2hBbAeXtCNHymh8oJV,,6561,,"Full Calendar, Empty Evening: Building Career in Cities That Don't Know You",,2026-06-03,,17:30:00,,SoHo,,Bridgit,https://partiful.com/e/5j2hBbAeXtCNHymh8oJV,https://www.tech-week.com/calendar/nyc,Wednesday,Evening,Bridgit; Y·US Ventures
changed:event_url,64Fzm7ItTZKGiWI419L2,5333,5333,The Rise Circle: After Hours,The Rise Circle: After Hours,2026-06-04,2026-06-04,18:00:00,18:00:00,Midtown,Midtown,African Women in STEM,African Women in STEM,https://partiful.com/e/64Fzm7ItTZKGiWI419L2,https://www.tech-week.com/calendar/nyc,Thursday,Evening,African Women in STEM; Altruistic Scribe
added,67csjJfCRZMu8aQL8xes,,6548,,"Debugging the NYC Rental: Using Data to Escape ""The Zero Data Decision""",,2026-06-03,,19:00:00,,Virtual (NYC),,"Houstory, LLC",https://partiful.com/e/67csjJfCRZMu8aQL8xes,https://www.tech-week.com/calendar/nyc,Wednesday,Evening,"Houstory, LLC"
changed:event_url,6BlGFmwIdpyndqyLYS2v,4191,4191,Agents at Scale,Agents at Scale,2026-06-04,2026-06-04,18:00:00,18:00:00,SoHo,SoHo,Deskree,Deskree,https://partiful.com/e/6BlGFmwIdpyndqyLYS2v,https://www.tech-week.com/calendar/nyc,Thursday,Evening,Deskree; tavily; Braintrust; Modal
changed:event_url,6FmuBjS60nrpePXnGWhC,5874,5874,"The Future of Healthcare: Innovation, Access, and Value","The Future of Healthcare: Innovation, Access, and Value",2026-06-03,2026-06-03,18:00:00,18:00:00,Midtown,Midtown,Columbia Venture Community,Columbia Venture Community,https://partiful.com/e/6FmuBjS60nrpePXnGWhC,https://www.tech-week.com/calendar/nyc,Wednesday,Evening,Columbia Venture Community; Columbia University Mailman School of Public Health Alumni Board
added,6HaKD546tO44phJnQHVx,,6381,,Consumer Founders & Investors Breakfast,,2026-06-05,,09:00:00,,Upper East Side,,Tiny Dinner,https://partiful.com/e/6HaKD546tO44phJnQHVx,https://www.tech-week.com/calendar/nyc,Friday,Morning,Tiny Dinner
added,6I7FKBOq3eeCIyKALJA3,,4112,,"Munis, Meet the Future: A Briefing on Tokenized Bonds",,2026-06-02,,15:30:00,,Union Square,,Zuzlab Inc.,https://partiful.com/e/6I7FKBOq3eeCIyKALJA3,https://www.tech-week.com/calendar/nyc,Tuesday,Afternoon,Zuzlab Inc.
changed:name|event_url,6IyADQq5v84QxvH5HuAM,6346,6346,Edelman & Tech:NYC New Media & Comms Happy Hour,Edelman & Tech:NYC Media & Comms Happy Hour,2026-06-04,2026-06-04,17:30:00,17:30:00,SoHo,SoHo,Edelman,Edelman,https://partiful.com/e/6IyADQq5v84QxvH5HuAM,https://www.tech-week.com/calendar/nyc,Thursday,Evening,Edelman; Tech:NYC
changed:name|event_url,6IyrrQO0OeyIwFF8RdEz,5443,5443,Harness Mindset Across an Organization by amp,An Engineering Mindset for AI Adoption Beyond Engineering,2026-06-02,2026-06-02,10:00:00,10:00:00,SoHo,SoHo,amp,amp,https://partiful.com/e/6IyrrQO0OeyIwFF8RdEz,https://www.tech-week.com/calendar/nyc,Tuesday,Morning,amp
added,6P62aj9sdBO8Nk6BSYqJ,,6444,,FEMALE FOUNDERS & FUNDERS RUN,,2026-06-02,,07:15:00,,West Village,,Slow Girl Run Club,https://partiful.com/e/6P62aj9sdBO8Nk6BSYqJ,https://www.tech-week.com/calendar/nyc,Tuesday,Morning,Slow Girl Run Club
